Gen,DARTLD000001_307202,DARTLD000002_307203,DARTLD000003_307204,DARTLD000004_307205,DARTLD000005_307206,DARTLD000006_307207,DARTLD000007_307208,DARTLD000008_307209,DARTLD000009_307210,DARTLD000010_307211
DARTLD000001_307202,0,0.349515,0.345745,0.637168,0.305556,0.519481,0.467391,0.174419,0.43662,0.419118
DARTLD000002_307203,0.349515,0,0.52381,0.385714,0.548387,0.450704,0.439394,0.44,0.462025,0.425676
DARTLD000003_307204,0.345745,0.52381,0,0.449153,0.217391,0.5,0.636364,0.333333,0.371429,0.451613
DARTLD000004_307205,0.637168,0.385714,0.449153,0,0.484536,0.373494,0.426829,0.62069,0.477273,0.45977
DARTLD000005_307206,0.305556,0.548387,0.217391,0.484536,0,0.483051,0.655172,0.08,0.344828,0.324324
DARTLD000006_307207,0.519481,0.450704,0.5,0.373494,0.483051,0,0.314815,0.6,0.611111,0.402778
DARTLD000007_307208,0.467391,0.439394,0.636364,0.426829,0.655172,0.314815,0,0.75,0.693548,0.759259
DARTLD000008_307209,0.174419,0.44,0.333333,0.62069,0.08,0.6,0.75,0,0.402778,0.421875
DARTLD000009_307210,0.43662,0.462025,0.371429,0.477273,0.344828,0.611111,0.693548,0.402778,0,0.375
DARTLD000010_307211,0.419118,0.425676,0.451613,0.45977,0.324324,0.402778,0.759259,0.421875,0.375,0
